game_title,game_subtitle,category_id,category_name,category_color,category_bg,category_text_color,card_title,card_subtitle,card_body,card_icon,metric1_label,metric1_value,metric2_label,metric2_value
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,pm,PM Journey highlights,#534AB7,#EEEDFE,#3C3489,Coverage x5,Balcones plant turnaround,"The project kicked off without a clearly handed-down scope and a new plant manager only three months in the role. Quick wins were the priority: A formal prioritization framework was built around functional locations using Availability, OEE, and MTBF metrics. A field data capture app was built for iPad with LTE connectivity to work around tough PPE and dust conditions on the floor. Data was stored in AWS, managed through a Nubuilder front-end, and the team was trained in proper data housekeeping from day one.",fa-shield-halved,PM Coverage delta,+47 pp,Range,11% to 58%
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,learn,Learning moments,#D85A30,#FAECE7,#712B13,Zero errors,Victorville: From Excel chaos to single source of truth,"Logical workflow errors were occurring at least once a week while Excel served as both database and PM tool. Full control of the project tracking system was taken, issues were documented, and Excel was demoted to a data capture input only. Airtable became the single source of truth with specialized views covering every step: Equipment assignment, task personalization, SAP update tracking, route index generation, and work order text output. Preventable errors were completely eradicated.",fa-arrow-trend-up,PM Coverage delta,+68 pp,Range,6% to 74%
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,pm,PM Journey highlights,#534AB7,#EEEDFE,#3C3489,100% approved,Lyons: Aligned agility using a proven system,"The last plant in the project had the most complete system: Poka-yoke mechanisms built in at every step, a fully streamlined workflow, and the only site to finish all strategy, task, and equipment approvals within the designated window. The inventory ran in freezing weather alongside recently graduated TDP engineers, while the plant was navigating a quarry shutdown under county scrutiny. A custom SAP training course was also delivered so stakeholders could manage future equipment changes independently.",fa-trophy,PM Coverage delta,+71 pp,Range,5% to 76%
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,learn,Learning moments,#D85A30,#FAECE7,#712B13,Juggling roles,Miami: When the team shrinks mid-project,"A mechanical engineer working remotely on maintenance strategy design fell ill and had to leave the project mid-delivery. His role, translating field inventory into structured PM strategies, had to be absorbed without losing momentum. Every remaining team member was cross-trained on all tools, inputs, and outputs to cover the gap. Miami's plans also required deeper normalization than other plants: Grouped route tasks were split into individual routines, nearly tripling the plan count. The process held, proving it was robust enough to survive an unplanned personnel change mid-flight.",fa-people-carry-box,PM Plans delta,+2159,Range,1350 to 3509
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,pm,PM Journey highlights,#534AB7,#EEEDFE,#3C3489,PM strategies x3.7,Clinchfield: The most complex plant in the project,"Clinchfield was the oldest and most technically demanding plant in the engagement: Heavy equipment, deep maintenance complexity, and specialized routes in NDT, Vibration, and Gearbox Alignment all owned by one person nearing retirement. Capturing that knowledge before it walked out the door was as much a priority as the PM optimization itself. Asset registrations were built from near zero into a fully documented equipment hierarchy. PM strategies were structured into SAP-ready upload packages with custom catalog profiles per equipment type.",fa-screwdriver-wrench,PM Strategies delta,+1943,Range,714 to 2657
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,pm,PM Journey highlights,#534AB7,#EEEDFE,#3C3489,Best in the US,Demopolis: Scope expands mid-project,"At Demopolis a second project was stacked on top of the PM optimization mid-stay: The plant was dealing with low availability and costly failures from aging belt conveyors. The ask was to find short-term solutions by ensuring the maintenance team's time was being optimally utilized. A scheduling app was built to select deficient task parameters, filter upcoming maintenance work, and automatically generate a schedule suggestion based on the plant's priorities and available person-hours. Handling two concurrent deliverables without compromising either taught a key lesson about scope management under pressure. The result placed Demopolis as the best-performing plant for maintenance compliance across all CEMEX USA operations.",fa-medal,PM Compliance rank,#1 in US,Benchmark,CEMEX USA
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,fun,Fun facts,#1D9E75,#E1F5EE,#085041,Meet Gary,Clinchfield: The knowledge that almost walked out the door,"Gary was the only person at Clinchfield who could execute NDT, Vibration, and Gearbox Alignment routes. He guided the team through kilometers of belt conveyors and highly specialized mining equipment including Gamma Ray analyzers. As the inventory database took shape, Gary asked for access so he could train his replacement from his desk. He had been dreading the alternative: Physically walking a new recruit through every piece of equipment across the entire plant. The database made that unnecessary. His knowledge stayed, even after he left.",fa-person-chalkboard,Assets documented,+166,Range,772 to 938
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,fun,Fun facts,#1D9E75,#E1F5EE,#085041,Two plants one project,Victorville: Quarry and Mill connected by rail,"Victorville is not one plant but two: A Quarry and a Milling section operating as separate facilities with trains carrying raw material between them. Both maintenance managers had to be aligned simultaneously on PM strategy, equipment priorities, and data quality standards. The Quarry Manager's first ask was updating routes for mobile equipment, while the Mill focused on coverage gaps in fixed assets. Running a single PM optimization across two physically separate operations with independent management chains required coordination that went well beyond the standard plant engagement.",fa-train,PM Coverage delta,+68 pp,Range,6% to 74%
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,fun,Fun facts,#1D9E75,#E1F5EE,#085041,Cold-weather audit,Lyons: Inventory in one of Boulder's snowiest Januaries on record,"January 2022 was one of Boulder's snowiest months in years: 30 inches of snowfall and the first month to close with colder-than-normal temperatures since the previous May. That was the exact month the Lyons plant inventory ran. The plant had just shut down its quarry and was under active scrutiny from Boulder County council, making impeccable maintenance performance a direct contribution to the plant's standing with local authorities and its long-term operational sustainability in the community. Field work ran in freezing conditions alongside two recently graduated TDP engineers using custom printed equipment cards for manual data capture on the floor.",fa-snowflake,PM Coverage delta,+71 pp,Highest in project,5% to 76%
PM Memory Game,Guidewheel Interview | CEMEX USA PMO,learn,Learning moments,#D85A30,#FAECE7,#712B13,Own the scope,Balcones: Organic roles in a fast-launched project,"The project launched at Balcones with only a couple of weeks of prior planning, barely enough time to sketch out the team's roles before hitting the floor. Functions were picked up organically as the work unfolded, with each team member absorbing responsibilities as the scope became clearer in real time. On top of that, the plant manager was only three months into the job, inheriting a record of underperformance and needing visible results fast. Rather than waiting for a formal mandate, ownership of data quality was claimed from day one. A prioritization framework built around Availability, OEE, and MTBF turned an ambiguous start into a credible project foundation.",fa-compass,PM Coverage delta,+47 pp,Range,11% to 58%
,,,,,,,,,,,,,,,
INSTRUCTIONS,,,,,,,,,,,,,,
HOW TO CUSTOMIZE AND RUN THE GAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STEP 1: Edit this CSV,,,,,,,,,,,,,,
"Fill the data rows above. Each row = one card. Every pair of cards must share the same category_id. The game engine will automatically double each row into a matching pair, so define each card ONCE, not twice.",,,,,,,,,,,,,,
"The game requires an EVEN total number of rows (e.g. 10 rows = 20 cards on the board). Recommended: 10 pairs for a 5x4 board.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COLUMN REFERENCE,,,,,,,,,,,,,,
game_title,"The title shown on the lobby screen and browser tab. Only needs to be filled on the first row, subsequent rows are ignored for this field.",,,,,,,,,,,,
game_subtitle,"Subtitle shown below the game title on the lobby screen.",,,,,,,,,,,,
category_id,"Short identifier for the category (no spaces). All cards sharing the same category_id are grouped together in the sidebar tracker. Example: pm | fun | learn",,,,,,,,,,,,
category_name,"Human-readable name displayed in the sidebar category list.",,,,,,,,,,,,
category_color,"Hex color used for the category dot and accent text. Example: #534AB7",,,,,,,,,,,,
category_bg,"Hex color used as the background of the result panel tag badge. Should be a light version of category_color. Example: #EEEDFE",,,,,,,,,,,,
category_text_color,"Hex color for the text inside the result panel tag badge. Should be a dark version of category_color. Example: #3C3489",,,,,,,,,,,,
card_title,"Short title shown on the face of the card and as the heading in the result panel. Keep under 20 characters.",,,,,,,,,,,,
card_subtitle,"One-line subtitle shown in the result panel below the title.",,,,,,,,,,,,
card_body,"2-3 sentence description shown in the result panel body. Avoid commas inside this field or wrap the whole cell in double quotes.",,,,,,,,,,,,
card_icon,"Font Awesome 6 Free icon handle. Use the class name with the fa- prefix. Examples: fa-map | fa-chart-bar | fa-puzzle-piece | fa-handshake | fa-rocket | fa-star | fa-lightbulb | fa-trophy | fa-flag | fa-fire | fa-bolt | fa-brain | fa-code | fa-globe | fa-leaf | fa-heart | fa-shield | fa-lock | fa-gear | fa-graduation-cap",,,,,,,,,,,,
metric1_label,"Label for the single data point shown in the result panel. Example: PM Coverage delta",,,,,,,,,,,,
metric1_value,"Value for the data point. Example: +47 pp",,,,,,,,,,,,
metric2_label,"Label for the supporting context line. Example: Range",,,,,,,,,,,,
metric2_value,"Value for the context line. Example: 11% to 58%",,,,,,,,,,,,
,,,,,,,,,,,,,,
STEP 2: Upload this CSV to Google Drive,,,,,,,,,,,,,,
"Save this file as a .csv (File > Download > CSV in Google Sheets or save as CSV from Excel).",,,,,,,,,,,,,,
"Upload the .csv file to Google Drive.",,,,,,,,,,,,,,
"Right-click the file > Share > change access to Anyone with the link can view.",,,,,,,,,,,,,,
"Copy the shareable link. It will look like: https://drive.google.com/file/d/FILE_ID/view?usp=sharing",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STEP 3: Run the game,,,,,,,,,,,,,,
"Open pm_memory_game_multiplayer.html in any browser.",,,,,,,,,,,,,,
"On the lobby screen paste your Google Drive shareable link into the Load game data field and click Load.",,,,,,,,,,,,,,
"The game will fetch the CSV, parse it, and populate all cards, categories, titles and labels automatically.",,,,,,,,,,,,,,
"Once loaded the lobby will show the game title from your CSV and you can proceed to create or join a room normally.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ICON REFERENCE: Font Awesome 6 Free (Solid),,,,,,,,,,,,,,
"Browse all available icons at: https://fontawesome.com/search?o=r&m=free&s=solid",,,,,,,,,,,,,,
"Use the icon name exactly as shown. Examples:",,,,,,,,,,,,,,
fa-map,fa-chart-bar,fa-handshake,fa-ship,fa-rocket,fa-star,fa-lightbulb,fa-trophy,fa-flag,fa-fire,,,,
fa-bolt,fa-brain,fa-code,fa-globe,fa-leaf,fa-heart,fa-shield,fa-lock,fa-gear,fa-graduation-cap,,,,
fa-pizza-slice,fa-rotate,fa-puzzle-piece,fa-file-pen,fa-water,fa-ring,fa-microscope,fa-atom,fa-dna,fa-flask,,,,
fa-shield-halved,fa-arrow-trend-up,fa-screwdriver-wrench,fa-medal,fa-person-chalkboard,fa-train,fa-snowflake,fa-compass,fa-people-carry-box,fa-industry,,,,
